
New le type         Old le type
------------------- -------------------------------- 
v_prd_was-sv_le     vc_prd_was_subj_le
v_prd_wre_le        vc_prd_were_le
v_prd_wre-sv_le     vc_prd_were_subj_le
v_prd_am-n_le       vc_prd_am_neg_le
v_prd_am-n-niv_le   vc_prd_am_neg_noinv_le
v_prd_is-n_le       vc_prd_is_neg_le
v_prd_is-n-niv_le   vc_prd_is_neg_noinv_le
v_prd_are-n_le      vc_prd_are_neg_le
v_prd_are-n-niv_le  vc_prd_are_neg_noinv_le
v_prd_was-n_le      vc_prd_was_neg_le
v_prd_was-n-sv_le   vc_prd_was_neg_subj_le
v_prd_wre-n_le      vc_prd_were_neg_le
v_prd_wre-n-sv_le   vc_prd_were_neg_subj_le
v_np_be_le          vc_id_be_le
v_np_being_le       vc_id_being_le
v_np_been_le        vc_id_been_le
v_np_am_le          vc_id_am_le
v_np_am-cx_le       vc_id_am_cx_le
v_np_is_le          vc_id_is_le
v_np_is-cx_le       vc_id_is_cx_le
v_np_are_le         vc_id_are_le
v_np_are-cx_le      vc_id_are_cx_le
v_np_was_le         vc_id_was_le
v_np_was-sv_le      vc_id_was_subj_le
v_np_wre_le         vc_id_were_le
v_np_wre-sv_le      vc_id_were_subj_le
v_np_am-n_le        vc_id_am_neg_le
v_np_am-n-niv_le    vc_id_am_neg_noinv_le
v_np_is-n_le        vc_id_is_neg_le
v_np_is-n-niv_le    vc_id_is_neg_noinv_le
v_np_are-n_le       vc_id_are_neg_le
v_np_are-n-niv_le   vc_id_are_neg_noinv_le
v_np_was-n_le       vc_id_was_neg_le
v_np_was-n-sv_le    vc_id_was_neg_subj_le
v_np_wre-n_le       vc_id_were_neg_le
v_np_wre-n-sv_le    vc_id_were_neg_subj_le
v_cp_be_le          vc_nv_be_le
v_cp_being_le       vc_nv_being_le
v_cp_been_le        vc_nv_been_le
v_cp_is_le          vc_nv_is_le
v_cp_is-cx_le       vc_nv_is_cx_le
v_cp_are_le         vc_nv_are_le
v_cp_was_le         vc_nv_was_le
v_cp_was-sv_le      vc_nv_was_subj_le
v_cp_wre_le         vc_nv_were_le
v_cp_wre-sv_le      vc_nv_were_subj_le
v_cp_is-n_le        vc_nv_is_neg_le
v_cp_is-n-niv_le    vc_nv_is_neg_noinv_le
v_cp_are-n_le       vc_nv_are_neg_le
v_cp_was-n_le       vc_nv_was_neg_le
v_cp_was-n-sv_le    vc_nv_was_neg_subj_le
v_cp_wre-n_le       vc_nv_were_neg_le
v_cp_wre-n-sv_le    vc_nv_were_neg_subj_le
v_np-xp_be_le       vc_there_be_le
v_np-xp_being_le    vc_there_being_le
v_np-xp_been_le     vc_there_been_le
v_np-xp_is_le       vc_there_is_le
v_np-xp_are_le      vc_there_are_le
v_np-xp_is-pl_le    vc_there_is_plur_le
v_np-xp_was_le      vc_there_was_le
v_np-xp_was-sv_le   vc_there_was_subj_le
v_np-xp_wre_le      vc_there_were_le
v_np-xp_wre-sv_le   vc_there_were_subj_le
v_np-xp_is-cx_le    vc_there_s_cx_le
v_np-xp_is-n_le     vc_there_is_neg_le
v_np-xp_is-n-niv_le vc_there_is_neg_noinv_le
v_np-xp_are-n_le    vc_there_are_neg_le
v_np-xp_was-n_le    vc_there_was_neg_le
v_np-xp_was-n-sv_le vc_there_was_neg_subj_le
v_np-xp_wre-n_le    vc_there_were_neg_le
v_np-xp_wre-n-sv_le vc_there_were_neg_subj_le
v_np-rc_be_le       vc_it_be_le
v_np-rc_being_le    vc_it_being_le
v_np-rc_been_le     vc_it_been_le
v_np-rc_is_le       vc_it_is_le
v_np-rc_was_le      vc_it_was_le
v_np-rc_was-sv_le   vc_it_was_subj_le
v_np-rc_is-cx_le    vc_it_s_cx_le
v_np-rc_is-n_le     vc_it_is_neg_le
v_np-rc_was-n_le    vc_it_was_neg_le
v_np-rc_was-n-sv_le vc_it_was_neg_subj_le
n_-_c_le            n_intr_le                  
n_-_c-nocnh_le      n_no_cmpnd_le              
n_-_c-nochd_le      n_no_cmpnd_hd_le           
n_-_c-ns_le         n_intr_nosort_le           
n_-_c-br_le         n_bare_le                  
n_-_c-brn_le        n_bare_nmod_le             
n_-_c-brn*_le       n_bare_nmod_opt_le         
n_-_c-brj_le        n_bare_jmod_le             
n_-_c-brj*_le       n_bare_jmod_opt_le         
n_-_c-brnj_le       n_bare_mod_le              
n_-_c-brno_le       n_bare_nomod_le            
n_-_c-br-idm_le     n_intr_nospr_le            
n_-_c-poss_le       n_intr_poss_le             
n_-_c-day_le        n_intr_temp_d_le           
n_-_c-hour_le       n_intr_temp_h_le           
n_-_c-ssn_le        n_intr_temp_ssn_le         
n_-_c-sg_le         n_intr_sg_le               
n_-_c-nm_le         n_intr_named_le            
n_-_c-nm-pd_le      n_intr_named_punct_le      
n_-_c-dlr_le        n_intr_dollar_le           
n_-_c-unk_le        n_intr_unk_le              
n_pp_c_le           n_ppcomp_le                
n_pp_c-of-brn_le    n_ppcomp_spr_le            
n_pp_c-obl_le       n_ppcomp_oblig_le          
n_pp_c-ns-obl_le    n_ppcomp_oblig_nosort_le   
n_pp_c-of_le        n_ppof_le                  
n_pp_c-ns-of_le     n_ppof_nosort_le           
n_pp_c-nt-of_le     n_ppof_nontemp_le          
n_pp_c-of-obl_le    n_ppof_oblig_le            
n_-_c-meas_le       n_meas_le                  
n_-_c-meas-nocnh_le n_meas_nocmpnd_le          
n_pp_c-pl-of_le     n_ppof_place_le            
n_pp_c-ns_le        n_ppcomp_nosort_le         
n_pp_c-mod-of_le    n_ppof_modable_le          
n_pp_c-nocnh-of_le  n_ppof_nocmpnd_le          
n_pp-pp_c_le        n_double_ppcomp_le         
n_pp_c-day_le       n_temp_ppcomp_day_le       
n_pp_c-t-of-nb_le   n_temp_ppcomp_time_le      
n_-_c-min_le        n_temp_minute_le           
n_-_c-nday_le       n_intr_temp_nd_le          
n_-_c-nday_le       n_temp_nd_le               
n_-_c-nday-pl_le    n_temp_nd_plur_le          
n_-_c-year_le       n_temp_year_le             
n_-_c-year-pl_le    n_temp_year_le             
n_-_c-dow_le        n_day_of_week_le           
n_-_c-month_le      n_month_le                 
n_-_c-mod_le        n_intr_modable_le          
n_vp_c_le           n_vpcomp_le                
n_vp_m_le           n_vpcomp_le                
n_cp_c-fin_le       n_cpcomp_fin_le            
n_cp_c-optc_le      n_cpcomp_optthat_le        
n_cp_c-mod_le       n_cpcomp_modable_le        
n_cp_c-bse_le       n_cpcomp_bse_le            
n_cp_c-inf_le       n_cpcomp_inf_le            
n_cp_mc-fin_le      n_mass_count_cpcomp_fin_le 
n_np_c_le           n_npcomp_le                
n_nb_c_le           n_nomcomp_le               
n_nb_c-qt_le        n_nomcomp_quote_le         
n_-_c-cur_le        n_numcomp_le               
n_-_c-cur-gen_le    n_numcomp_gen_le           
n_-_m_le            n_mass_le                  
n_-_mc_le           n_mass_count_le            
n_-_mc-ns_le        n_mass_count_nosort_le     
n_-_mc-time_le      n_mass_count_time_le       
n_pp_m_le           n_mass_ppcomp_le           
n_pp_m-obl_le       n_mass_ppcomp_oblig_le     
n_pp_m-brn_le       n_mass_ppcomp_nospr_le     
n_pp_mc_le          n_mass_count_ppcomp_le     
n_pp_mc-obl_le      n_mass_count_ppcomp_oblig_l
n_pp_mc-of_le       n_mass_count_ppof_le       
