an_per_p a_per_p
aint_pl_have_aux_1 have_fin_aux_neg_1 : aint_pl_have_aux_2 have_fin_aux_neg_2
 : have_fin_aux_cx have_fin_aux_cx_2
 : aint_sg_have_aux_1 aint_sg_have_aux_2 hasnt_aux_1 hasnt_aux_2
 : hadnt_aux_1 hadnt_aux_2
 : hadnt_aux_subj_1 hadnt_aux_subj_2
a_half_fract a_half_fract_2
and_fract and_fract_2
christmas_n1 xmas_n1
autumn_n1 fall_n1
through thru_p
however_freerel_np how_freerel_np
 : will_aux_pos_cx will_aux_pos_cx_2
will_aux_neg_1 : will_aux_neg_2
 : must_aux_neg_1 must_aux_neg_2
majorca_n1 mallorca_n1
oslofjorden_n1 oslofjord_n1
washingtondc_n1 washingtondc_n3
mount_st_helen_n1 mount_st_helen_n2
botnemarka_n1 botnemark_n1
saint_louis_n1 saint_louis_n2 saint_louis_n3
new_york_city_n1 new_york_n1
los_angeles_n1 los_angeles_n2
high_powered_a1 high_powered_a2
nearest_a1 near_a1
preexisting_a1 preexisting_a2
southeast_adj2 southeast_isect
ne_isect northeast_adj2 northeast_isect
hut_to_hut_a1 hut_to_hut_a2
dentists_a1 dentists_a2
high_tech_a1 high_tech_a2
offpeak_a1 offpeak_a2
easy_going_a1 easy_going_a2
pre_approved_a1 pre_approved_a2
cliff_top_a1 cliff_top_a2
mainly_isect main_a1
stuck_out_a1 stuck_out_a2
time_consuming_a1 time_consuming_a2
open-air_a1 open-air_a2 open_air_a1
counter_narcotic_a1 counter_narcotic_a2
top_of_the_line_a1 top_of_the_line_a2
day_to_day_a1 day_to_day_a2
auto_immune_a1 auto_immune_a2
hours_long_a1 hours_long_a2
second_hand_a1 second_hand_a2
lightweight_a1 lightweight_a2
worthwhile_a1 worthwhile_a2
hikers_a1 hikers_a2
prepaid_a1 prepaid_a2
okay_a1 ok_a1
home_brewed_a1 home_brewed_a2
built_in_a1 built_in_a2
mind_bending_a1 mind_bending_a2
wooden-headed_a1 wooden-headed_a2
brine_cured_a1 brine_cured_a2
knife_edge_a1 knife_edge_a2
hands_free_a1 hands_free_a2
freeze_dried_a1 freeze_dried_a2
toll_free_a1 toll_free_a2 toll_free_a3
industrial_strength_a1 industrial_strength_a2
first_class_a1 first_class_a2
laid_back_a1 laid_back_a2
se_isect southwest_adj2 southwest_isect sw_isect
northwest_adj2 northwest_isect nw_isect
analog_digital_a1 digital_analog_a1
negotiable_a1 negotiatable_a1
doctors_a1 doctors_a2
windswept_a1 windswept_a2 windswept_a3
nonrefundable_a1 nonrefundable_a2 nonrefundable_a3 nonrefundable_a4
centuries_old_a1 centuries_old_a2
lichen_covered_a1 lichen_covered_a2
on_time_a1 on_time_a2
online_a1 online_a2 online_a3
day-long_a1 days-long_a1 days-long_a2
anti_cancer_a1 anti_cancer_a2
first_hand_a1 first_hand_a2
man_made_a1 man_made_a2
like_minded_a1 like_minded_a2 like_minded_a3
brand_new_a1 brand_new_a2
non_approved_isect non_approved_isect2 non_approved_isect3
allright_isect all_right_a1 alright_a1
suburban_a1 suburbian_a1
nonessential_a1 nonessential_a2 nonessential_a3
lowlying_a1 low_lying_a2
knowledgable_a1 knowledgeable_a1
orange_cured_a1 orange_cured_a2
u_shaped_a1 _u_shaped_a1
low_tech_a1 low_tech_a2
fore-and-aft_a1 fore-and-aft_a2
up_to_date_a1 up_to_date_a2
downstream_pp downstream_pp2
 : would_aux_pos_cx would_aux_pos_cx_2
would_aux_neg_1 : would_aux_neg_2
decimalersatz decimalersatz_2
two : couple_adj
one_adj one_adj_digit
twenty twenty_num
an_one_adj a_one_adj a_one_adj_2 less_than_a_one_adj
oh zero zero_digit
okey_doke_excl_post ok_doke_excl_post
i_think_disc i_think_disc_2
uh_huh_root_pre uh_huh_root_pre_2
i_must_say_root i_must_say_root_2
i_guess_disc i_guess_disc_2
thanks_abb_root_post thanks_root_post
uh_huh_root_post uh_huh_root_post_2
allright_root_post alright_root_post
yall_root_1_pre yall_root_2_pre
i_mean_disc i_mean_disc_2
ps_root_pre ps_root_pre_2 ps_root_pre_3 ps_root_pre_4 ps_root_pre_5 ps_root_pre_6
i_e_root_post i_e_root_post_2 i_e_root_post_3
lets_say_2_disc lets_say_3_disc lets_say_disc
please_abb_root please_root
okey_doke_excl_pre ok_doke_excl_pre
thanks_abb_root_pre thanks_root_pre
yall_root_1_post yall_root_2_post
i_guess_disc_3 i_guess_disc_4
i_must_say_root_3 i_must_say_root_4
lets_say_4_disc lets_say_5_disc lets_say_6_disc
allright_root_pre alright_root_pre
i_e_root_pre i_e_root_pre_2 i_e_root_pre_3
umm_root um_ersatz
i : i_2
you : u_pro yall yall_2 yall_3 you_all you_guys you_people
super_deg1 super_deg2
a_couple_det a_couple_det2
nil_n1 nothing
minute_abb_n1 minute_abb_n2 minute_n1
in_order_to to_subord
provided_subord provided_that_subord
because cuz_subconj
providing_subord providing_that_subord
till_cp_p1 till_cp_p2 until2
washingtondc_n2 washingtondc_n4 washingtondc_n5 washingtondc_n6 washingtondc_n7 washingtondc_n8
someday_n1 sometime_n1 sometime_n2
less_than_a less_than_an
cs_n1 cs_n2 cs_n3
musicgal musicgal_2
ups_n1 ups_n2
king_jr_n1 king_jr_n2
trans_union_n1 trans_union_n2
johnson_and_johnson_n1 johnson_and_johnson_n2
blade_runner_n1 blade_runner_n2
procter_gamble_n1 procter_gamble_n2
rosanna_dana_n1 rosanna_dana_n2
numvalcard3digit4digit numvalcard4digit-4digit numvalcard4digit4digit
frys_n1 frys_n2
american_express_n1 american_express_n2
california_n1 california_n2
newjersey_n1 newjersey_n2
dead_poets_society_n1 dead_poets_society_n2
world_war_ii_n1 world_war_ii_n2
minimessenger minimessenger_2
mount_st_helens_n1 mount_st_helens_n2
911_n1 911_n2 911_n3
c-technologies_n1 c-technologies_n2
knight_ridder_n1 knight_ridder_n2
master_card_n1 master_card_n2
nedre_tindvatnet nedre_tindvatnet_n2
9_11_n1 9_11_n2
mission_energy_n1 mission_energy_n2
world_war_i_n1 world_war_i_n2
red_riding_hood_n1 red_riding_hood_n2
numvalcard3digit-3digit numvalcard3digit-4digit numvalcard3digit3digit
taco_bell_n1 taco_bell_n2
wal_mart_n1 wal_mart_n2 wal_mart_n3
vietnam_n1 vietnam_n2
fedex_n1 fedex_n2 fedex_n3
super_bowl_n3 super_bowl_n4
atandt_n1 atandt_n2 att_n1
ebags_n1 ebags_n2
except_that_1 except_that_2
could_aux_neg_1 : could_aux_neg_2
his_her_poss his_her_poss_2
apostrophe_s_2_lex : apostrophe_s_lex
whether_c_fin : whether_or_not_c_fin
whether_c_inf : whether_or_not_c_inf
as_if_c as_though_c like_c
a_det : a_det_2
 : be_c_were_neg_subj_1 be_c_were_neg_subj_2
be_c_were_neg_1 : be_c_were_neg_2
aint_be_c_am_neg_1 be_c_am_neg_1 : aint_be_c_am_neg_2 be_c_am_neg_2
be_c_was_neg_1 : be_c_was_neg_2
be_c_is_cx_2 : be_c_is_cx
 : be_c_are_cx be_c_are_cx_2
be_c_am_cx_2 : be_c_am_cx
 : be_c_was_neg_subj_1 be_c_was_neg_subj_2
be_c_are_neg_1 : aint_be_c_are_neg_1 aint_be_c_are_neg_2 be_c_are_neg_2
be_c_is_neg_1 : aint_be_c_is_neg_1 aint_be_c_is_neg_2 be_c_is_neg_2
 : had_better_cx had_better_cx_2
 : be_it_cop_was_neg_1 be_it_cop_was_neg_2
 : be_it_cop_was_neg_subj_1 be_it_cop_was_neg_subj_2
 : aint_be_it_cop_is_neg_1 aint_be_it_cop_is_neg_2 be_it_cop_is_neg_1 be_it_cop_is_neg_2
 : be_it_cop_were_neg_subj_1 be_it_cop_were_neg_subj_2
 : be_it_cop_is_cx be_it_cop_is_cx_2
aint_be_it_cop_are_neg_1 be_it_cop_are_neg_1 : aint_be_it_cop_are_neg_2 be_it_cop_are_neg_2
 : be_it_cop_were_neg_1 be_it_cop_were_neg_2
 : might_aux_neg_1 might_aux_neg_2
en_route_padv en_route_padv_2
en_route_pp en_route_pp_2
where2 : wherein
s_dash_pct s_dbl_dash_pct
esquire_ttl esquire_ttl_2
mount_ttl mount_ttl_3 : mount_ttl_2
president_ttl : pres_ttl pres_ttl_2
mr_title : mister mr_title_2
rv_ttl rv_ttl_2
fv_ttl fv_ttl_2
mrs_title : missus mrs_title_2
 : number_abb2_title number_abb2_title_2 number_abb_title number_abb_title_2 pound_sign_title
order_ttl : order_abb_ttl order_abb_ttl_2
miss_title ms_title : ms_title_2
st_title st_title_2
dr_ttl : doctor_ttl dr_ttl_2
be_th_cop_is_neg_1 : aint_be_th_cop_is_neg_1 aint_be_th_cop_is_neg_2 be_th_cop_is_neg_2
be_th_cop_is_cx_2 : be_th_cop_is_cx
be_th_cop_were_neg_1 : be_th_cop_were_neg_2
be_th_cop_was_neg_1 : be_th_cop_was_neg_2
 : be_th_cop_were_neg_subj_1 be_th_cop_were_neg_subj_2
 : be_th_cop_was_neg_subj_1 be_th_cop_was_neg_subj_2
aint_be_th_cop_are_neg_1 be_th_cop_are_neg_1 : aint_be_th_cop_are_neg_2 be_th_cop_are_neg_2
dare_aux_neg_1 : dare_aux_neg_2
ad_temp_1 ad_temp_2 ad_temp_3 ad_temp_4 ad_temp_5
bc_temp_1 bc_temp_2 bc_temp_3 bc_temp_4 bc_temp_5
a_quarter a_quarter_adj2 quarter_n2
oclock oclock_2
 : need_aux_neg_1 need_aux_neg_2
hour_n1 : hour_n2
lunch_n2 lunch_time_n2
currencyersatzdollarsymb currencyersatzusd dollarsign_n1 usdsign_n1
currencyersatzarp currencyersatzats currencyersatzaud currencyersatzbef currencyersatzbrl currencyersatzchf currencyersatzclp currencyersatzcnd currencyersatzcny currencyersatzczk currencyersatzdem currencyersatzegp currencyersatzesp currencyersatzeur currencyersatzfim currencyersatzfrf currencyersatzgbp currencyersatzgrd currencyersatzhkd currencyersatziep currencyersatzils currencyersatzinr currencyersatzitl currencyersatzjpy currencyersatzkrw currencyersatzmxp currencyersatzmyr currencyersatznlg currencyersatznok currencyersatznzd currencyersatzpkr currencyersatzpte currencyersatzsek currencyersatzsgd currencyersatzsur currencyersatzthb currencyersatztwd currencyersatzzar currency_ersatz_n1
weekend_nc_n1 weekend_nc_n2
around round
after_all_adv1 after_all_adv2
navigation_wise_adv1 navigation_wise_adv2
anymore_adv1 any_more_adv1
day_to_day_adv1 day_to_day_adv2
badly_adv1 bad_adv1
please_abb_adv please_adv
time_wise_adv1 time_wise_adv2
cross_country_adv1 cross_country_adv2
outward outwardly
first_hand_adv1 first_hand_adv2
a_lot_adv1 a_lot_adv2
first_class_adv1 first_class_adv2
quickly_adv1 quick_adv1
standby_adv1 standby_adv2
a_totter_adv1 a_totter_adv2
800s_n1 eight_hundreds_n1
600s_n1 six_hundreds_n1
100s_n1 hundreds_n1
900s_n1 nine_hundreds_n1
500s_n1 five_hundreds_n1
400s_n1 four_hundreds_n1
300s_n1 three_hundreds_n1
1000s_n1 thousands_n1
700s_n1 seven_hundreds_n1
200s_n1 two_hundreds_n1
70s_n1 seventies_n1
80s_n1 eighties_n1
50s_n1 fifties_n1
40s_n1 forties_n1
20s_n1 scores_n1 twenties_n1
60s_n1 sixties_n1
90s_n1 nineties_n1
30s_n1 thirties_n1
am_temp am_temp_2 am_temp_3 am_temp_5 am_temp_7
noon_min pm_temp pm_temp_2 pm_temp_3 pm_temp_5 pm_temp_7
downstream_a1 downstream_a2
upstream_a1 upstream_a2
make_up_a1 make_up_a2
mid_isect mid_isect_dash
hour-long_a1 hour-long_a2
best_selling_a1 best_selling_a2
birds_eye_a1 birds_eye_a2
all_night_a1 all_night_a2
all_day_a1 all_day_a2
not : not_quite
weekend_sg_def weekend_sg_def_2
weekend_pl_def weekend_pl_def_2
two-thousand two-thousand_2
nineteen_eightyseven nineteen_eightyseven_2
two-thousand_one_2 two-thousand_one_4 two_thousand_one
nineteen_eightynine nineteen_eightynine_2
nineteen_sixtyeight nineteen_sixtyeight_2
nineteen_ninetyone nineteen_ninetyone_2
nineteen_twentynine nineteen_twentynine_2
nineteen_ninety nineteen_ninety_2
nineteen_ninetytwo nineteen_ninetytwo_2
nineteen_ninetysix nineteen_ninetysix_2 ninetysix_year
nineteen_ninetythree nineteen_ninetythree_2 ninetythree_year
nineteen_ninetyfour nineteen_ninetyfour_2 ninetyfour_year
nineteen_eightyfour nineteen_eightyfour_2
nineteen_sixtysix nineteen_sixtysix_2
nineteen_eightysix nineteen_eightysix_2
two-thousand_two_2 two-thousand_two_4 two_thousand_two
nineteen_ninetyfive nineteen_ninetyfive_2 ninetyfive_year
nineteen_ninetyeight nineteen_ninetyeight_2 ninetyeight_year
nineteen_fiftythree nineteen_fiftythree_2
nineteen_eightyeight nineteen_eightyeight_2
nineteen_ninetyseven nineteen_ninetyseven_2 ninetyseven_year
nineteen_eightyfive nineteen_eightyfive_2
nineteen_ninetynine nineteen_ninetynine_2 ninetynine_year
friday_n1 friday_n3 : friday_n2
wednesday_n1 wednesday_n3 : wednesday_n2
thursday_n1 thursday_n3 : thursday_n2
sunday_n1 sunday_n3 : sunday_n2
tuesday_n1 tuesday_n3 : tuesday_n2
monday_n1 monday_n3 : monday_n2
saturday_n1 saturday_n3 : saturday_n2
can_aux_neg2 can_aux_neg_1 : can_aux_neg_2
x_to_y_np_pl_- x_to_y_np_pl_to
x_to_y_np_sg_- x_to_y_np_sg_through x_to_y_np_sg_to x_to_y_np_until
and_conj : and_conj_slash
 : and_or_conj_1 and_or_conj_2 and_or_conj_3
versus_conj vs_2_conj vs_3_conj vs_conj
or_conj_1 : slash_punct_adv1
a_few a_few_det2
judgement_n1 judgment_n1
schilling_n1 shilling_n1
us_n1 us_n2 us_n4
emailing_n1 emailing_n2
stavechurch_n1 stavechurch_n2
st_abb_n1 st_abb_n2
super_bowl_n1 super_bowl_n2
palmpilot_n1 palmpilot_n2
hold_up_n1 hold_up_n2
sunscreen_n1 sunscreen_n2
okay_n1 okay_n2 okay_n3
counter-proposal_n1 counter-proposal_n2
post-mortem_n1 postmortem_n
info_n1 info_n2
walkie_talkie_n1 walkie_talkie_n2
automobile_n1 auto_n1
100s_n2 hundreds_n2
deutsche_mark_n1 deutschmark_n1 deutschmark_n2 deutschmark_n3 dmark_n
gray_n1 grey_n1
ecommerce_n1 ecommerce_n2
self_control_n1 self_control_n2
landslide_n1 landslide_n2
bahncard_n1 bahncard_n2
gigahertz_n1 gigahertz_n2
laptop_n1 laptop_n2
spaghetti_warehouse_n1 spaghetti_warehouse_n2
roommate_n1 roommate_n2
megahertz_n1 megahertz_n2
email_n1 e_mail_n1 e_mail_n2
loccumer_hof loccumer_hof_2
hot_line_n1 hot_line_n2 hot_line_n3
trimode_n1 trimode_n2
tee_shirt_n1 tee_shirt_n2 tee_shirt_n3
ex_husband_n1 ex_husband_n2 ex_husband_n3
department_n1 dept_n1
photograph_n1 photo_n1
handheld_n1 handheld_n2 handheld_n3
breakdown_n1 breakdown_n2
e_ticket_n1 e_ticket_n2 e_ticket_n3 e_ticket_n4
dualband_n1 dualband_n2
website_n1 website_n2
sub_notebook_n1 sub_notebook_n2 sub_notebook_n3
hairpin_n1 hairpin_n2
round_trip_n1 round_trip_n2
users_manual_n2 users_manual_n3 user_manual_n1
s-and-h_n1 s-and-h_n2
ex_spouse_n1 ex_spouse_n2 ex_spouse_n3
color_n1 colour_n1
cdrom_n1 cdrom_n2
avenue_n1 avenue_n2
palmtop_n1 palm_top_n1
dialogue_n1 dialog_n1
counter_narcotics_n1 counter_narcotics_n2
self_service_n1 self_service_n2
v_neck_n1 v_neck_n2 v_neck_n3
snow_clearing_n1 snow_clearing_n2
snowmobile_n1 snowmobile_n2
concert-goer_n1 concert-goer_n2
tv_n1 tv_n2
cobblestone_n1 cobblestone_n2
follow_up_n1 follow_up_n2
fairytale_n1 fairytale_n2
grownup_n1 grownup_n2 grownup_n3
triband_n1 triband_n2 triband_n3
locurner_hof locurner_hof_2
account_n3 account_n4
cut_off_n1 cut_off_n2
mma_n1 mma_n2 money_market_n1
minidisc_n1 minidisc_n2 minidisc_n3 minidisk_n1 minidisk_n2 minidisk_n3
run_around_n1 run_around_n2
ex_wife_n1 ex_wife_n2 ex_wife_n3
noehre_hof noehre_hof_2
dualmode_n1 dualmode_n2
seaside_n1 seaside_n2
non_service_n1 non_service_n2
backcountry_n1 backcountry_n2
back_order_n1 back_order_n2
no_service_n1 no_service_n2
payback_n1 payback_n2
axe_n1 ax_n1
ahold_n1_i ahold_n2_i
travelers_check_n1 travelers_check_n2 travelers_check_n3 travelers_cheque_n1 travelers_cheque_n2 travelers_cheque_n3
minicamcorder_n1 minicamcorder_n2
numidentifierersatz_n1 numidentifierersatz_n2 numidentifierersatz_n3 numidentifierersatz_n4 numidentifierersatz_n5 numidentifierersatz_n7
lira_n2 lire_money_n2
sec_n1 sec_n2
cross_country_n1 cross_country_n2
franc_n1 frank_money_n1
lira_n1 lire_money_n1
high_res_n1 high_res_n2 high_res_n3
should_aux_neg_1 : should_aux_neg_2
christmas_n2 xmas_n2
autumn_n3 fall_n3
autumn_n2 fall_n2
christmas_n3 xmas_n3
foot_abb_n1 foot_n1
milliliter_abb_n1 milliliter_n1
kilometer_n1 : km_abb_n1
meter_abb_n1 meter_n1
kilogram_n1 kilo_n1
centimeter_abb_n1 centimeter_n1
millimeter_abb_n1 millimeter_n1
exactly_wh_adv in_the_world_wh_adv oh_where_wh_adv on_earth_wh_adv the_fuck_wh_adv the_heck_wh_adv the_hell_wh_adv
somebody someone
anybody anyone
everybody everyone
x_to_y_adj_- x_to_y_adj_to
fore-and-aft_adv1 fore-and-aft_adv2
